🕘️更新时间,#genre#
2026-09-26 00:16:59,http://xjj1.716888.xyz/fenlei/4k/4k.php

📺央视频道,#genre#
CCTV-6,https://live.264788.xyz/channel/cctv6?streamid=c89a4225ad5c8ee02dc7ea15ac47cfb9&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-6,https://live.264788.xyz/channel/cctv6?streamid=0ef9fb30ed6fddd913a3226264c374ac&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-6,http://58.35.95.16:20009/rtp/233.18.204.72:5140
CCTV-6,http://101.81.76.108:4022/rtp/233.18.204.72:5140
CCTV-6,http://39.77.161.85:4002/rtp/239.253.254.193:8000$山东联通11
CCTV-6,http://106.111.244.12:58099/rtp/239.49.8.76:8000
CCTV-6,http://39.77.25.244:4002/rtp/239.253.254.193:8000$山东联通31
CCTV-6,http://39.77.156.202:4002/rtp/239.253.254.193:8000$山东联通21
CCTV-6,http://221.220.135.44:8012/rtp/239.3.1.174:8001$北京联通11
CCTV-6,http://60.4.29.46:8077/rtp/239.253.92.193:6058$河北联通11
CCTV-6,http://183.222.15.202:4321/rtp/239.11.0.102:5140
CCTV-6,http://183.236.43.98:4013/udp/239.77.0.171:5146$广东电信11
CCTV-6,http://182.135.66.163:1888/rtp/239.94.0.34:5140
CCTV-6,http://182.135.66.163:18888/rtp/239.94.0.34:5140
CCTV-7,https://live.264788.xyz/channel/cctv7?streamid=043ecb8ede7fbe890d88633af70d7cb3&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-7,http://58.35.95.16:20009/rtp/233.18.204.73:5140
CCTV-7,http://39.77.156.202:4002/rtp/239.253.254.233:8000$山东联通21
CCTV-7,http://39.77.161.85:4002/rtp/239.253.254.233:8000$山东联通11
CCTV-7,http://222.92.158.110:9889/rtp/239.49.0.126:8000
CCTV-7,http://101.81.76.108:4022/rtp/233.18.204.73:5140
CCTV-7,http://39.77.25.244:4002/rtp/239.253.254.233:8000$山东联通31
CCTV-7,http://60.4.29.46:8077/rtp/239.253.92.194:6059$河北联通11
CCTV-7,http://183.222.15.202:4321/rtp/239.11.0.110:5140
CCTV-7,http://183.236.43.98:4013/udp/239.77.0.138:5146$广东电信11
CCTV-7,http://39.87.249.126:8090/udp/239.253.254.233:8000
CCTV-8,https://live.264788.xyz/channel/cctv8?streamid=6c3489b6be6b56162e89e7a5b9a39b61&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-8,https://live.264788.xyz/channel/cctv8?streamid=40de643d4d7181842c8181a3a31bfade&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-8,https://live.264788.xyz/channel/cctv8?streamid=edf72a10a74fdf3c8d3b62e5540c2cf8&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-8,https://live.264788.xyz/channel/cctv8?streamid=6a85d271479df7e4105c8edd745b4625&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-8,http://58.35.95.16:20009/rtp/233.18.204.74:5140
CCTV-8,http://106.111.244.12:58099/rtp/239.49.8.77:8000
CCTV-8,http://39.77.161.85:4002/rtp/239.253.254.194:8000$山东联通11
CCTV-8,http://39.77.25.244:4002/rtp/239.253.254.194:8000$山东联通31
CCTV-8,http://39.77.156.202:4002/rtp/239.253.254.194:8000$山东联通21
CCTV-8,http://60.4.29.46:8077/rtp/239.253.92.195:6060$河北联通11
CCTV-8,http://101.81.76.108:4022/rtp/233.18.204.74:5140
CCTV-8,http://183.222.15.202:4321/rtp/239.11.0.103:5140
CCTV-8,http://182.135.66.163:18888/rtp/239.94.0.8:5140
CCTV-8,http://182.135.66.163:1888/rtp/239.94.0.35:5140
CCTV-8,http://182.135.66.163:18888/rtp/239.94.0.35:5140
CCTV-8,http://183.236.43.98:4013/udp/239.77.0.172:5146$广东电信11
CCTV-8,http://182.135.66.163:1888/rtp/239.94.0.8:5140
CCTV-8,http://182.135.66.163:18888/rtp/239.94.2.29:5140
CCTV-8,http://182.135.66.163:1888/rtp/239.94.2.29:5140
CCTV-8,http://39.87.249.126:8090/udp/239.253.254.194:8000
CCTV-9,https://live.264788.xyz/channel/cctv9?streamid=9b73d31612fe525017b680bb3dd8071f&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-9,https://live.264788.xyz/channel/cctv9?streamid=965471f22871b869185fa44895550cf6&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-9,http://101.81.76.108:4022/rtp/233.18.204.75:5140
CCTV-9,http://39.77.25.244:4002/rtp/239.253.254.79:8000$山东联通31
CCTV-9,http://39.77.156.202:4002/rtp/239.253.254.79:8000$山东联通21
CCTV-9,http://39.77.161.85:4002/rtp/239.253.254.79:8000$山东联通11
CCTV-9,http://222.92.158.110:9889/rtp/239.49.8.53:9814
CCTV-9,http://60.4.29.46:8077/rtp/239.253.92.107:6020$河北联通11
CCTV-9,http://183.222.15.202:4321/rtp/239.11.0.111:5140
CCTV-9,http://182.135.66.163:18888/rtp/239.94.0.9:5140
CCTV-9,http://182.135.66.163:1888/rtp/239.94.2.32:5140
CCTV-9,http://182.135.66.163:1888/rtp/239.94.0.9:5140
CCTV-9,http://183.236.43.98:4013/udp/239.77.0.135:5146$广东电信11
CCTV-9,http://182.135.66.163:18888/rtp/239.94.2.32:5140
